id,name,score1,score2
251,Student_251,72,99
252,Student_252,52,100
253,Student_253,74,96
254,Student_254,94,77
255,Student_255,70,63
256,Student_256,60,69
257,Student_257,94,64
258,Student_258,89,54
259,Student_259,55,65
260,Student_260,56,59
261,Student_261,69,57
262,Student_262,68,59
263,Student_263,50,65
264,Student_264,69,86
265,Student_265,58,88
266,Student_266,64,50
267,Student_267,100,52
268,Student_268,65,81
269,Student_269,52,89
270,Student_270,67,66
271,Student_271,56,92
272,Student_272,69,50
273,Student_273,75,79
274,Student_274,68,61
275,Student_275,72,93
276,Student_276,50,90
277,Student_277,75,97
278,Student_278,62,64
279,Student_279,84,82
280,Student_280,66,100
281,Student_281,74,75
282,Student_282,64,58
283,Student_283,62,93
284,Student_284,76,56
285,Student_285,97,70
286,Student_286,74,60
287,Student_287,53,97
288,Student_288,80,83
289,Student_289,54,75
290,Student_290,64,64
291,Student_291,75,95
292,Student_292,82,68
293,Student_293,92,71
294,Student_294,55,71
295,Student_295,94,51
296,Student_296,93,57
297,Student_297,83,50
298,Student_298,94,64
299,Student_299,66,64
300,Student_300,84,66
301,Student_301,95,95
302,Student_302,62,76
303,Student_303,63,79
304,Student_304,50,75
305,Student_305,95,65
306,Student_306,78,68
307,Student_307,56,68
308,Student_308,85,51
309,Student_309,78,86
310,Student_310,78,78
311,Student_311,97,59
312,Student_312,93,76
313,Student_313,89,100
314,Student_314,55,59
315,Student_315,64,61
316,Student_316,65,82
317,Student_317,76,68
318,Student_318,78,74
319,Student_319,58,80
320,Student_320,55,69
321,Student_321,84,88
322,Student_322,93,58
323,Student_323,84,56
324,Student_324,59,73
325,Student_325,90,90
326,Student_326,57,77
327,Student_327,68,55
328,Student_328,67,100
329,Student_329,89,67
330,Student_330,61,54
331,Student_331,83,91
332,Student_332,89,85
333,Student_333,78,50
334,Student_334,63,73
335,Student_335,69,51
336,Student_336,84,78
337,Student_337,73,61
338,Student_338,70,76
339,Student_339,71,97
340,Student_340,67,83
341,Student_341,99,84
342,Student_342,100,94
343,Student_343,78,95
344,Student_344,100,52
345,Student_345,53,75
346,Student_346,97,82
347,Student_347,71,58
348,Student_348,52,65
349,Student_349,68,69
350,Student_350,94,100
351,Student_351,66,94
352,Student_352,94,81
353,Student_353,76,77
354,Student_354,99,99
355,Student_355,69,98
356,Student_356,96,86
357,Student_357,52,55
358,Student_358,85,86
359,Student_359,85,61
360,Student_360,59,98
361,Student_361,68,95
362,Student_362,84,70
363,Student_363,53,96
364,Student_364,83,85
365,Student_365,64,69
366,Student_366,96,65
367,Student_367,72,81
368,Student_368,66,77
369,Student_369,72,59
370,Student_370,82,69
371,Student_371,97,77
372,Student_372,52,71
373,Student_373,93,60
374,Student_374,55,60
375,Student_375,56,71
376,Student_376,71,78
377,Student_377,57,94
378,Student_378,63,54
379,Student_379,94,81
380,Student_380,91,86
381,Student_381,98,98
382,Student_382,95,74
383,Student_383,52,73
384,Student_384,66,82
385,Student_385,82,85
386,Student_386,67,61
387,Student_387,62,62
388,Student_388,90,96
389,Student_389,82,68
390,Student_390,60,88
391,Student_391,65,62
392,Student_392,81,92
393,Student_393,55,59
394,Student_394,58,98
395,Student_395,60,60
396,Student_396,55,80
397,Student_397,84,56
398,Student_398,58,98
399,Student_399,62,85
400,Student_400,70,92
401,Student_401,53,73
402,Student_402,63,88
403,Student_403,94,54
404,Student_404,54,96
405,Student_405,83,93
406,Student_406,75,88
407,Student_407,89,94
408,Student_408,100,97
409,Student_409,97,75
410,Student_410,86,66
411,Student_411,98,80
412,Student_412,66,58
413,Student_413,86,67
414,Student_414,55,98
415,Student_415,82,77
416,Student_416,97,98
417,Student_417,61,82
418,Student_418,81,84
419,Student_419,76,66
420,Student_420,95,95
421,Student_421,55,72
422,Student_422,68,90
423,Student_423,66,81
424,Student_424,86,50
425,Student_425,86,95
426,Student_426,62,51
427,Student_427,91,54
428,Student_428,69,61
429,Student_429,54,63
430,Student_430,86,86
431,Student_431,89,58
432,Student_432,55,64
433,Student_433,82,76
434,Student_434,60,59
435,Student_435,74,50
436,Student_436,83,54
437,Student_437,99,50
438,Student_438,96,88
439,Student_439,97,83
440,Student_440,58,91
441,Student_441,89,100
442,Student_442,86,56
443,Student_443,71,81
444,Student_444,72,71
445,Student_445,50,75
446,Student_446,93,98
447,Student_447,89,95
448,Student_448,76,66
449,Student_449,77,63
450,Student_450,100,65
451,Student_451,76,93
452,Student_452,80,56
453,Student_453,86,56
454,Student_454,90,78
455,Student_455,90,70
456,Student_456,98,89
457,Student_457,66,67
458,Student_458,96,60
459,Student_459,82,86
460,Student_460,72,76
461,Student_461,80,87
462,Student_462,67,55
463,Student_463,94,83
464,Student_464,92,86
465,Student_465,58,89
466,Student_466,92,86
467,Student_467,94,84
468,Student_468,71,63
469,Student_469,100,79
470,Student_470,53,75
471,Student_471,65,61
472,Student_472,50,56
473,Student_473,88,89
474,Student_474,86,67
475,Student_475,77,62
476,Student_476,51,63
477,Student_477,56,53
478,Student_478,63,80
479,Student_479,61,88
480,Student_480,66,68
481,Student_481,60,54
482,Student_482,92,93
483,Student_483,71,83
484,Student_484,64,96
485,Student_485,81,51
486,Student_486,99,96
487,Student_487,66,51
488,Student_488,100,91
489,Student_489,55,53
490,Student_490,97,50
491,Student_491,89,86
492,Student_492,80,93
493,Student_493,70,61
494,Student_494,51,73
495,Student_495,73,72
496,Student_496,74,61
497,Student_497,97,88
498,Student_498,71,83
499,Student_499,50,80
500,Student_500,84,92
501,Student_501,78,62
502,Student_502,88,52
503,Student_503,71,88
504,Student_504,82,54
505,Student_505,66,66
506,Student_506,84,77
507,Student_507,87,77
508,Student_508,57,83
509,Student_509,59,71
510,Student_510,71,68
511,Student_511,92,86
512,Student_512,54,55
513,Student_513,69,56
514,Student_514,59,96
515,Student_515,68,71
516,Student_516,100,100
517,Student_517,100,82
518,Student_518,85,51
519,Student_519,96,99
520,Student_520,89,68
521,Student_521,93,98
522,Student_522,54,71
523,Student_523,80,62
524,Student_524,78,91
525,Student_525,71,79
526,Student_526,89,90
527,Student_527,84,85
528,Student_528,54,58
529,Student_529,62,79
530,Student_530,84,56
531,Student_531,56,63
532,Student_532,70,82
533,Student_533,66,83
534,Student_534,73,62
535,Student_535,58,59
536,Student_536,51,75
537,Student_537,55,79
538,Student_538,89,54
539,Student_539,98,58
540,Student_540,99,100
541,Student_541,54,55
542,Student_542,92,92
543,Student_543,100,85
544,Student_544,86,50
545,Student_545,97,65
546,Student_546,86,87
547,Student_547,80,67
548,Student_548,74,67
549,Student_549,78,100
550,Student_550,93,61
551,Student_551,59,54
552,Student_552,97,64
553,Student_553,98,85
554,Student_554,60,71
555,Student_555,67,70
556,Student_556,63,87
557,Student_557,68,79
558,Student_558,93,68
559,Student_559,99,56
560,Student_560,73,92
561,Student_561,53,56
562,Student_562,80,100
563,Student_563,64,100
564,Student_564,60,86
565,Student_565,66,78
566,Student_566,79,99
567,Student_567,51,70
568,Student_568,70,71
569,Student_569,90,87
570,Student_570,61,50
571,Student_571,79,78
572,Student_572,76,98
573,Student_573,53,85
574,Student_574,78,87
575,Student_575,69,69
576,Student_576,91,66
577,Student_577,53,63
578,Student_578,63,75
579,Student_579,94,70
580,Student_580,56,57
581,Student_581,74,93
582,Student_582,92,77
583,Student_583,82,63
584,Student_584,62,50
585,Student_585,81,72
586,Student_586,63,97
587,Student_587,96,73
588,Student_588,60,68
589,Student_589,97,80
590,Student_590,82,79
591,Student_591,90,80
592,Student_592,52,93
593,Student_593,95,87
594,Student_594,97,78
595,Student_595,89,89
596,Student_596,70,92
597,Student_597,85,75
598,Student_598,58,73
599,Student_599,61,56
600,Student_600,60,84
601,Student_601,83,74
602,Student_602,91,57
603,Student_603,86,59
604,Student_604,73,89
605,Student_605,72,63
606,Student_606,64,60
607,Student_607,100,84
608,Student_608,52,98
609,Student_609,74,78
610,Student_610,75,57
611,Student_611,70,57
612,Student_612,56,83
613,Student_613,56,76
614,Student_614,82,83
615,Student_615,72,54
616,Student_616,85,76
617,Student_617,99,63
618,Student_618,63,85
619,Student_619,84,63
620,Student_620,68,85
621,Student_621,98,93
622,Student_622,100,88
623,Student_623,65,92
624,Student_624,100,92
625,Student_625,92,68
626,Student_626,69,54
627,Student_627,68,85
628,Student_628,69,50
629,Student_629,66,75
630,Student_630,100,84
631,Student_631,58,86
632,Student_632,57,94
633,Student_633,88,98
634,Student_634,62,89
635,Student_635,72,85
636,Student_636,71,78
637,Student_637,58,96
638,Student_638,54,66
639,Student_639,99,92
640,Student_640,67,75
641,Student_641,100,66
642,Student_642,57,69
643,Student_643,90,76
644,Student_644,66,69
645,Student_645,59,69
646,Student_646,66,63
647,Student_647,74,60
648,Student_648,59,55
649,Student_649,72,67
650,Student_650,52,74
651,Student_651,88,62
652,Student_652,87,58
653,Student_653,58,85
654,Student_654,52,72
655,Student_655,87,57
656,Student_656,59,78
657,Student_657,72,51
658,Student_658,52,92
659,Student_659,87,75
660,Student_660,66,86
661,Student_661,79,60
662,Student_662,65,70
663,Student_663,76,63
664,Student_664,70,60
665,Student_665,71,64
666,Student_666,56,69
667,Student_667,58,81
668,Student_668,78,54
669,Student_669,85,92
670,Student_670,77,99
671,Student_671,68,92
672,Student_672,95,53
673,Student_673,74,60
674,Student_674,60,85
675,Student_675,94,72
676,Student_676,70,91
677,Student_677,57,64
678,Student_678,72,52
679,Student_679,63,55
680,Student_680,61,55
681,Student_681,72,77
682,Student_682,57,83
683,Student_683,68,87
684,Student_684,71,78
685,Student_685,70,62
686,Student_686,61,73
687,Student_687,65,68
688,Student_688,90,95
689,Student_689,80,69
690,Student_690,99,57
691,Student_691,58,50
692,Student_692,71,87
693,Student_693,86,76
694,Student_694,90,75
695,Student_695,51,52
696,Student_696,90,50
697,Student_697,50,90
698,Student_698,56,52
699,Student_699,94,76
700,Student_700,80,60
701,Student_701,92,78
702,Student_702,65,68
703,Student_703,65,82
704,Student_704,99,76
705,Student_705,71,60
706,Student_706,84,61
707,Student_707,87,71
708,Student_708,51,99
709,Student_709,89,50
710,Student_710,77,93
711,Student_711,93,69
712,Student_712,82,90
713,Student_713,53,97
714,Student_714,90,73
715,Student_715,95,58
716,Student_716,53,76
717,Student_717,76,86
718,Student_718,73,63
719,Student_719,55,86
720,Student_720,59,56
721,Student_721,57,98
722,Student_722,74,74
723,Student_723,62,54
724,Student_724,50,76
725,Student_725,79,98
726,Student_726,70,94
727,Student_727,79,91
728,Student_728,81,74
729,Student_729,75,56
730,Student_730,98,50
731,Student_731,92,97
732,Student_732,91,57
733,Student_733,62,99
734,Student_734,94,58
735,Student_735,58,64
736,Student_736,88,59
737,Student_737,74,97
738,Student_738,64,69
739,Student_739,90,93
740,Student_740,75,87
741,Student_741,84,64
742,Student_742,55,52
743,Student_743,63,64
744,Student_744,100,100
745,Student_745,61,95
746,Student_746,58,77
747,Student_747,70,99
748,Student_748,67,53
749,Student_749,99,62
750,Student_750,71,53
751,Student_751,82,72
752,Student_752,72,55
753,Student_753,92,79
754,Student_754,75,52
755,Student_755,55,57
756,Student_756,89,85
757,Student_757,83,69
758,Student_758,96,81
759,Student_759,81,59
760,Student_760,82,50
761,Student_761,60,53
762,Student_762,91,57
763,Student_763,89,57
764,Student_764,71,85
765,Student_765,52,93
766,Student_766,99,54
767,Student_767,64,83
768,Student_768,96,75
769,Student_769,50,92
770,Student_770,85,84
771,Student_771,89,96
772,Student_772,94,65
773,Student_773,80,70
774,Student_774,61,100
775,Student_775,58,94
776,Student_776,77,55
777,Student_777,68,82
778,Student_778,59,100
779,Student_779,51,74
780,Student_780,90,86
781,Student_781,95,55
782,Student_782,68,79
783,Student_783,70,66
784,Student_784,57,65
785,Student_785,77,63
786,Student_786,94,86
787,Student_787,63,68
788,Student_788,59,75
789,Student_789,50,70
790,Student_790,68,71
791,Student_791,99,86
792,Student_792,65,67
793,Student_793,99,50
794,Student_794,95,51
795,Student_795,55,82
796,Student_796,75,84
797,Student_797,74,95
798,Student_798,69,84
799,Student_799,66,90
800,Student_800,94,53
801,Student_801,73,91
802,Student_802,90,83
803,Student_803,80,62
804,Student_804,78,50
805,Student_805,56,64
806,Student_806,100,51
807,Student_807,51,79
808,Student_808,73,81
809,Student_809,82,78
810,Student_810,59,51
811,Student_811,69,61
812,Student_812,58,50
813,Student_813,92,84
814,Student_814,59,53
815,Student_815,77,56
816,Student_816,73,84
817,Student_817,79,97
818,Student_818,67,90
819,Student_819,56,95
820,Student_820,74,81
821,Student_821,66,52
822,Student_822,76,86
823,Student_823,100,69
824,Student_824,98,58
825,Student_825,74,56
826,Student_826,86,71
827,Student_827,95,74
828,Student_828,55,79
829,Student_829,52,90
830,Student_830,70,50
831,Student_831,51,58
832,Student_832,60,71
833,Student_833,60,87
834,Student_834,71,86
835,Student_835,98,87
836,Student_836,55,55
837,Student_837,91,84
838,Student_838,100,66
839,Student_839,94,93
840,Student_840,69,81
841,Student_841,55,81
842,Student_842,79,69
843,Student_843,63,94
844,Student_844,52,97
845,Student_845,71,84
846,Student_846,74,79
847,Student_847,91,58
848,Student_848,83,89
849,Student_849,78,72
850,Student_850,84,64
851,Student_851,65,52
852,Student_852,97,99
853,Student_853,80,75
854,Student_854,70,72
855,Student_855,54,66
856,Student_856,92,59
857,Student_857,89,79
858,Student_858,69,58
859,Student_859,97,95
860,Student_860,65,56
861,Student_861,60,89
862,Student_862,73,79
863,Student_863,73,77
864,Student_864,50,91
865,Student_865,71,66
866,Student_866,89,76
867,Student_867,79,70
868,Student_868,95,100
869,Student_869,69,51
870,Student_870,73,93
871,Student_871,98,77
872,Student_872,54,86
873,Student_873,51,64
874,Student_874,63,97
875,Student_875,63,97
876,Student_876,69,88
877,Student_877,66,70
878,Student_878,90,78
879,Student_879,57,52
880,Student_880,72,59
881,Student_881,55,63
882,Student_882,94,78
883,Student_883,69,77
884,Student_884,86,51
885,Student_885,53,79
886,Student_886,53,76
887,Student_887,87,50
888,Student_888,92,90
889,Student_889,98,73
890,Student_890,59,61
891,Student_891,53,69
892,Student_892,63,58
893,Student_893,70,52
894,Student_894,57,53
895,Student_895,90,83
896,Student_896,94,81
897,Student_897,81,76
898,Student_898,60,56
899,Student_899,64,54
900,Student_900,98,94
901,Student_901,52,67
902,Student_902,75,56
903,Student_903,73,99
904,Student_904,86,96
905,Student_905,69,77
906,Student_906,76,83
907,Student_907,66,54
908,Student_908,95,89
909,Student_909,84,71
910,Student_910,55,89
911,Student_911,96,85
912,Student_912,70,99
913,Student_913,87,84
914,Student_914,64,88
915,Student_915,72,50
916,Student_916,79,55
917,Student_917,73,59
918,Student_918,52,81
919,Student_919,72,52
920,Student_920,86,89
921,Student_921,76,95
922,Student_922,61,56
923,Student_923,97,57
924,Student_924,50,64
925,Student_925,91,86
926,Student_926,81,59
927,Student_927,55,100
928,Student_928,71,67
929,Student_929,67,90
930,Student_930,93,58
931,Student_931,89,66
932,Student_932,99,56
933,Student_933,93,86
934,Student_934,65,62
935,Student_935,61,81
936,Student_936,67,79
937,Student_937,91,100
938,Student_938,54,68
939,Student_939,98,86
940,Student_940,69,71
941,Student_941,87,57
942,Student_942,67,99
943,Student_943,62,93
944,Student_944,81,79
945,Student_945,67,69
946,Student_946,95,85
947,Student_947,98,54
948,Student_948,82,55
949,Student_949,51,100
950,Student_950,72,53
951,Student_951,80,88
952,Student_952,51,60
953,Student_953,99,92
954,Student_954,78,78
955,Student_955,70,89
956,Student_956,54,71
957,Student_957,93,98
958,Student_958,73,80
959,Student_959,68,71
960,Student_960,63,90
961,Student_961,94,76
962,Student_962,69,84
963,Student_963,52,58
964,Student_964,64,68
965,Student_965,96,52
966,Student_966,50,67
967,Student_967,59,87
968,Student_968,92,78
969,Student_969,91,91
970,Student_970,87,87
971,Student_971,93,89
972,Student_972,100,71
973,Student_973,72,99
974,Student_974,66,80
975,Student_975,85,51
976,Student_976,72,58
977,Student_977,57,64
978,Student_978,93,75
979,Student_979,56,76
980,Student_980,73,65
981,Student_981,56,94
982,Student_982,78,64
983,Student_983,81,89
984,Student_984,55,87
985,Student_985,62,83
986,Student_986,57,61
987,Student_987,77,87
988,Student_988,80,96
989,Student_989,64,66
990,Student_990,74,74
991,Student_991,68,80
992,Student_992,55,51
993,Student_993,99,67
994,Student_994,76,84
995,Student_995,64,95
996,Student_996,90,68
997,Student_997,60,74
998,Student_998,72,83
999,Student_999,88,95
1000,Student_1000,69,67
1001,Student_1001,92,93
1002,Student_1002,69,52
1003,Student_1003,85,95
1004,Student_1004,57,80
1005,Student_1005,87,86
1006,Student_1006,79,59
1007,Student_1007,52,96
1008,Student_1008,55,93
1009,Student_1009,77,52
1010,Student_1010,82,71
1011,Student_1011,56,85
1012,Student_1012,56,99
1013,Student_1013,71,56
1014,Student_1014,56,72
1015,Student_1015,54,58
1016,Student_1016,93,98
1017,Student_1017,85,53
1018,Student_1018,67,95
1019,Student_1019,69,58
1020,Student_1020,53,90
1021,Student_1021,94,87
1022,Student_1022,87,75
1023,Student_1023,73,68
1024,Student_1024,100,73
1025,Student_1025,59,77
1026,Student_1026,52,86
1027,Student_1027,63,80
1028,Student_1028,65,63
1029,Student_1029,77,60
1030,Student_1030,62,61
1031,Student_1031,65,50
1032,Student_1032,68,81
1033,Student_1033,70,90
1034,Student_1034,69,62
1035,Student_1035,100,65
1036,Student_1036,96,66
1037,Student_1037,88,84
1038,Student_1038,66,87
1039,Student_1039,60,99
1040,Student_1040,79,89
1041,Student_1041,80,59
1042,Student_1042,79,66
1043,Student_1043,61,61
1044,Student_1044,62,99
1045,Student_1045,80,70
1046,Student_1046,98,73
1047,Student_1047,74,75
1048,Student_1048,66,77
1049,Student_1049,98,80
1050,Student_1050,73,90
1051,Student_1051,59,64
1052,Student_1052,83,71
1053,Student_1053,92,100
1054,Student_1054,79,67
1055,Student_1055,56,68
1056,Student_1056,87,97
1057,Student_1057,97,58
1058,Student_1058,56,67
1059,Student_1059,93,86
1060,Student_1060,56,78
1061,Student_1061,77,96
1062,Student_1062,53,80
1063,Student_1063,93,100
1064,Student_1064,91,60
1065,Student_1065,87,69
1066,Student_1066,74,50
1067,Student_1067,52,50
1068,Student_1068,96,55
1069,Student_1069,69,54
1070,Student_1070,71,84
1071,Student_1071,53,72
1072,Student_1072,68,58
1073,Student_1073,87,54
1074,Student_1074,56,76
1075,Student_1075,56,75
1076,Student_1076,79,64
1077,Student_1077,56,86
1078,Student_1078,87,81
1079,Student_1079,66,74
1080,Student_1080,82,83
1081,Student_1081,60,71
1082,Student_1082,51,53
1083,Student_1083,50,78
1084,Student_1084,64,83
1085,Student_1085,99,72
1086,Student_1086,92,50
1087,Student_1087,52,64
1088,Student_1088,87,95
1089,Student_1089,59,65
1090,Student_1090,54,93
1091,Student_1091,70,76
1092,Student_1092,79,68
1093,Student_1093,58,56
1094,Student_1094,55,92
1095,Student_1095,61,68
1096,Student_1096,93,60
1097,Student_1097,91,70
1098,Student_1098,77,52
1099,Student_1099,74,71
1100,Student_1100,90,97
1101,Student_1101,70,90
1102,Student_1102,92,79
1103,Student_1103,70,67
1104,Student_1104,79,68
1105,Student_1105,78,76
1106,Student_1106,94,81
1107,Student_1107,76,89
1108,Student_1108,56,100
1109,Student_1109,51,85
1110,Student_1110,86,54
1111,Student_1111,65,84
1112,Student_1112,77,83
1113,Student_1113,63,94
1114,Student_1114,91,89
1115,Student_1115,70,62
1116,Student_1116,93,80
1117,Student_1117,66,56
1118,Student_1118,57,98
1119,Student_1119,52,65
1120,Student_1120,77,78
1121,Student_1121,71,98
1122,Student_1122,52,86
1123,Student_1123,62,86
1124,Student_1124,53,65
1125,Student_1125,57,70
1126,Student_1126,85,85
1127,Student_1127,68,59
1128,Student_1128,58,82
1129,Student_1129,50,93
1130,Student_1130,56,73
1131,Student_1131,67,88
1132,Student_1132,87,92
1133,Student_1133,70,80
1134,Student_1134,81,52
1135,Student_1135,74,73
1136,Student_1136,97,93
1137,Student_1137,78,65
1138,Student_1138,79,51
1139,Student_1139,95,96
1140,Student_1140,79,78
1141,Student_1141,85,56
1142,Student_1142,57,80
1143,Student_1143,74,88
1144,Student_1144,100,84
1145,Student_1145,60,58
1146,Student_1146,95,73
1147,Student_1147,68,57
1148,Student_1148,58,73
1149,Student_1149,86,56
1150,Student_1150,80,73
1151,Student_1151,87,66
1152,Student_1152,73,86
1153,Student_1153,89,70
1154,Student_1154,66,61
1155,Student_1155,81,75
1156,Student_1156,98,97
1157,Student_1157,78,59
1158,Student_1158,78,93
1159,Student_1159,63,74
1160,Student_1160,57,80
1161,Student_1161,67,86
1162,Student_1162,91,77
1163,Student_1163,87,62
1164,Student_1164,96,98
1165,Student_1165,57,53
1166,Student_1166,70,74
1167,Student_1167,61,60
1168,Student_1168,70,93
1169,Student_1169,98,50
1170,Student_1170,88,74
1171,Student_1171,55,80
1172,Student_1172,79,70
1173,Student_1173,67,70
1174,Student_1174,85,89
1175,Student_1175,85,97
1176,Student_1176,83,73
1177,Student_1177,56,76
1178,Student_1178,54,52
1179,Student_1179,95,84
1180,Student_1180,94,52
1181,Student_1181,50,87
1182,Student_1182,74,95
1183,Student_1183,62,50
1184,Student_1184,98,72
1185,Student_1185,57,59
1186,Student_1186,74,96
1187,Student_1187,62,95
1188,Student_1188,73,97
1189,Student_1189,76,89
1190,Student_1190,55,81
1191,Student_1191,66,82
1192,Student_1192,93,82
1193,Student_1193,69,61
1194,Student_1194,95,85
1195,Student_1195,85,73
1196,Student_1196,53,94
1197,Student_1197,98,66
1198,Student_1198,71,60
1199,Student_1199,52,81
1200,Student_1200,65,53
1201,Student_1201,64,91
1202,Student_1202,70,91
1203,Student_1203,98,52
1204,Student_1204,58,50
1205,Student_1205,67,85
1206,Student_1206,56,89
1207,Student_1207,65,93
1208,Student_1208,73,64
1209,Student_1209,62,54
1210,Student_1210,61,94
1211,Student_1211,89,78
1212,Student_1212,83,65
1213,Student_1213,70,71
1214,Student_1214,54,84
1215,Student_1215,83,73
1216,Student_1216,88,83
1217,Student_1217,78,79
1218,Student_1218,82,84
1219,Student_1219,73,78
1220,Student_1220,53,99
1221,Student_1221,58,74
1222,Student_1222,74,86
1223,Student_1223,50,57
1224,Student_1224,61,67
1225,Student_1225,85,100
1226,Student_1226,58,86
1227,Student_1227,85,96
1228,Student_1228,69,70
1229,Student_1229,79,63
